date,Hours,AvgSpeed_max,AvgSpeed_mean,Volume_sum
2018-02-01,00,27037,20086.9166666667,38
2018-02-01,01,30556,22635.0833333333,18
2018-02-01,02,25278,20470.8333333333,21
2018-02-01,03,36806,20980,23
2018-02-01,04,27222,21508.4166666667,26
2018-02-01,05,24630,19247.9166666667,60
2018-02-01,06,21111,18038,186
2018-02-01,07,17681,16024.75,351
2018-02-01,08,17222,15299.4166666667,471
2018-02-01,09,18093,15629.25,328
2018-02-01,10,17341,15370.5833333333,277
2018-02-01,11,17685,15962.25,321
2018-02-01,12,18290,16023.75,322
2018-02-01,13,17391,15897.9166666667,328
2018-02-01,14,17100,15491.5,354
2018-02-01,15,17538,15739.75,385
2018-02-01,16,16280,15308.75,393
2018-02-01,17,16929,14648.3333333333,374
2018-02-01,18,17661,15601.1666666667,300
2018-02-01,19,18595,16619,239
2018-02-01,20,18333,17050.25,231
2018-02-01,21,19957,18066.3333333333,179
2018-02-01,22,20247,17965.0833333333,145
2018-02-01,23,25903,19459.75,68
